What is Kotlin primarily used for?;Mobile and backend development
Which keyword declares a variable that cannot be reassigned?;val
How do you print "Hello, Kotlin!" in Kotlin?;print("Hello, Kotlin!")
What is the entry point of a Kotlin program?;main()
Which operator checks for referential equality?;===
How do you define a function in Kotlin?;fun funName() {}
What is the default visibility modifier in Kotlin?;public
Which keyword creates a singleton in Kotlin?;object
What does "data class" provide automatically?;toString(), equals(), hashCode()
How do you make a class inheritable?;open class
What does "?" indicate in Kotlin?;Nullable type
How do you safely call a method on a nullable variable?;variable?.method()
What is the difference between "List" and "MutableList"?;List is immutable, MutableList can be modified
Which function transforms a collection?;filter(), map(), reduce()
What does "!!" (not-null assertion) do?;Converts nullable to non-null (throws NPE if null)
What is a coroutine?;A lightweight thread
Which dispatcher is used for UI operations in Android?;Dispatchers.Main
What does "suspend" mean in a function?;The function can be paused and resume
Which function launches a coroutine?;launch, async
What is "Flow" in Kotlin?;An asynchronous stream of values
What is a "sealed class"?;A class with a fixed set of subclasses
What does "inline" do for a function?;Reduces runtime overhead of lambdas
Which annotation makes Kotlin code callable from Java?;@JvmStatic, @JvmOverloads, @JvmName
What is "when" in Kotlin?;A switch-case replacement
What is the purpose of "lateinit"?;To declare a non-null variable initialized later
What is an extension function?;A function added to a class without modifying it
How do you define an extension function for "String"?;fun String.newFunction() {}
What is a higher-order function?;A function that takes another function as a parameter
What does "let" do in Kotlin?;Executes a block on a non-null object
Which keyword is used for lazy initialization?;lazy
What is delegation in Kotlin?;Passing responsibilities to another object (by keyword)
How do you declare a generic class in Kotlin?;class Box<T>
What is "reified" used for with generics?;To access the generic type at runtime in inline functions
Which feature allows Kotlin to build DSLs (Domain-Specific Languages)?;Extension functions + lambdas with receivers
How do you handle checked exceptions from Java in Kotlin?;Use @Throws annotation
What does @JvmStatic do?;Makes a Kotlin function static in Java bytecode
Which annotation generates a builder for Java interop?;@JvmOverloads
What is a "crossinline" lambda?;A lambda that canâ€™t use "return" to exit the enclosing function
Which scope function is best for null checks and transformations?;let
What does "typealias" do?;Provides an alternative name for an existing type
